,rat,amountgiven,value
0,FPS01,20,20.0
1,FPS01,30,13.0
2,FPS01,50,15.0
3,FPS01,70,17.5
4,FPS01,90,18.0
5,FPS02,20,18.0
6,FPS02,30,13.333333333333336
7,FPS02,50,10.5
8,FPS02,70,14.5
9,FPS02,90,13.0
10,FPS03,20,20.0
11,FPS03,30,15.0
12,FPS03,50,31.5
13,FPS03,70,14.0
14,FPS03,90,22.5
15,FPS04,20,14.0
16,FPS04,30,14.333333333333336
17,FPS04,50,8.5
18,FPS04,70,12.5
19,FPS04,90,12.5
20,FPS05,20,19.0
21,FPS05,30,20.33333333333333
22,FPS05,50,29.5
23,FPS05,70,31.0
24,FPS05,90,14.5
25,FPS06,20,20.0
26,FPS06,30,14.333333333333336
27,FPS06,50,12.0
28,FPS06,70,18.0
29,FPS06,90,17.0
30,FPS07,20,4.0
31,FPS07,30,11.666666666666664
32,FPS07,50,10.5
33,FPS07,70,8.0
34,FPS07,90,7.0
35,FPS08,20,19.0
36,FPS08,30,26.0
37,FPS08,50,23.5
38,FPS08,70,26.0
39,FPS08,90,27.5
