,rat,amountgiven,value
0,FPS01,2.5,1.4900000000000002
1,FPS01,5,1.3100000000000005
2,FPS01,7.5,0.7999999999999989
3,FPS01,10,1.4400000000000013
4,FPS02,2.5,1.6300000000000008
5,FPS02,5,1.6700000000000017
6,FPS02,7.5,1.3200000000000005
7,FPS02,10,0.629999999999999
8,FPS03,2.5,0.3199999999999985
9,FPS03,5,0.8599999999999994
10,FPS03,7.5,0.6400000000000006
11,FPS03,10,1.0599999999999987
12,FPS04,2.5,1.83
13,FPS04,5,1.879999999999999
14,FPS04,7.5,0.8900000000000006
15,FPS04,10,1.2600000000000016
16,FPS05,2.5,1.7300000000000004
17,FPS05,5,3.24
18,FPS05,7.5,1.5999999999999996
19,FPS05,10,2.0100000000000016
20,FPS06,2.5,2.169999999999999
21,FPS06,5,1.1300000000000008
22,FPS06,7.5,1.6099999999999994
23,FPS06,10,1.8599999999999977
24,FPS07,2.5,0.9399999999999996
25,FPS07,5,0.6499999999999986
26,FPS07,7.5,1.5499999999999992
27,FPS07,10,1.490000000000002
28,FPS08,2.5,1.17
29,FPS08,5,1.0999999999999996
30,FPS08,7.5,0.4399999999999995
31,FPS08,10,0.6900000000000013
