rat,small,large
501.0,24.1,19.1
122.0,30.150000000000002,24.0
127.0,20.1,20.750000000000007
502.0,10.549999999999997,11.75
503.0,20.39999999999999,15.450000000000003
801.0,23.740000000000002,26.45000000000001
803.0,13.650000000000006,5.399999999999999
804.0,23.200000000000003,25.200000000000003
805.0,26.8,27.199999999999996
806.0,22.900000000000002,24.950000000000003
807.0,29.499999999999996,27.499999999999993
808.0,27.05,29.450000000000003
